Designator	Mid X	Mid Y	Rotation	Layer
C1	39.375	-43.375	270.0	top
C10	29.625	-28.75	180.0	top
C11	29.375	-27.5	0.0	top
C12	29.375	-26.25	180.0	top
C13	38.375	-23.625	0.0	top
C14	29.625	-23.625	180.0	top
C15	43.625	-18.625	180.0	top
C16	24.375	-16.5	0.0	top
C17	43.625	-16.5	180.0	top
C18	24.375	-18.625	0.0	top
C19	36.625	-22.25	180.0	top
C2	29.5	-38.25	270.0	top
C20	38.125	-28.0	0.0	top
C21	44.25	-32.25	0.0	top
C22	28.5	-51.0	270.0	top
C24	23.125	-37.75	180.0	top
C25	24.25	-44.25	0.0	top
C26	27.0	-27.125	90.0	top
C27	38.125	-26.5	180.0	top
C28	31.375	-22.25	0.0	top
C29	28.25	-24.625	0.0	top
C3	29.375	-30.0	180.0	top
C31	39.5	-51.0	270.0	top
C33	44.121741	-27.125	180.0	top
C4	38.5	-37.125	90.0	top
C5	39.75	-24.625	180.0	top
C6	41.125	-37.875	0.0	top
C7	41.125	-32.875	180.0	top
C8	18.375	-44.875	0.0	top
D1	44.125	-24.125	90.0	top
D2	34.0	-43.75	90.0	top
D3	45.0	-37.15	270.0	top
D4	42.625	-47.125	180.0	top
D5	25.375	-47.125	0.0	top
F1	25.125	-50.5	180.0	bottom
F2	42.875	-50.5	180.0	bottom
IC1	34.0	-34.875	90.0	top
IMU2	44.121741	-29.5	90.0	top
J1	34.0	-20.5	180.0	top
J2	34.0	-49.15	0.0	top
J3	20.5	-34.0	270.0	top
J4	47.5	-34.0	90.0	top
J5	48.625	-26.5	270.0	top
J6	48.625	-41.5	270.0	top
J7	25.0	-34.0	270.0	top
L1	26.75	-42.5	90.0	top
R1	18.25	-23.75	270.0	top
R10	22.75	-40.25	0.0	top
R11	24.375	-20.75	180.0	top
R12	43.625	-20.75	0.0	top
R13	33.0	-41.375	270.0	top
R14	35.0	-41.375	270.0	top
R15	34.0	-41.375	270.0	top
R16	23.375	-27.125	90.0	top
R17	25.25	-24.125	90.0	top
R18	26.5	-24.125	90.0	top
R19	22.125	-27.125	90.0	top
R2	17.25	-23.75	270.0	top
R20	24.0	-29.75	270.0	top
R21	25.25	-29.75	270.0	top
R22	25.875	-27.125	270.0	top
R23	28.75	-41.0	270.0	top
R24	29.35	-31.25	180.0	top
R25	39.375	-40.875	90.0	top
R26	19.25	-23.75	270.0	top
R27	22.75	-29.75	270.0	top
R28	24.625	-27.125	90.0	top
R29	40.5	-31.25	180.0	top
R3	16.25	-23.75	270.0	top
R30	41.125	-39.125	180.0	top
R31	46.25	-24.125	270.0	top
R4	28.75	-43.5	270.0	top
R5	44.25	-34.25	180.0	top
R6	44.25	-33.25	0.0	top
R7	18.375	-43.375	0.0	top
R9	22.75	-39.0	0.0	top
SW1	25.25	-51.0	0.0	top
SW2	42.75	-51.0	0.0	top
U1	34.0	-26.5	270.0	top
U2	34.0	-34.0	270.0	bottom
U4	25.625	-39.0	0.0	top
U5	23.125	-24.0	0.0	top
U6	31.0	-42.625	180.0	top
U7	37.0	-42.625	180.0	top
U8	43.75	-42.25	270.0	top
U9	23.875	-42.25	90.0	top
Y1	41.125	-35.375	270.0	top
