ID	Designator	Footprint	Quantity	Value	LCSC Part #
1	C1, C11, C13, C14, C2, C20, C21, C22, C25, C3, C31, C4	C0402	12	100n	C307331
2	C10	C_0603_1608Metric	1	2.2u	C23630
3	C12	C0402	1	22n	C1532
4	C15, C16, C17, C18, C8	C_1206_3216Metric	5	10u	C13585
5	C19, C28, C29, C5	C0402	4	470p	C1537
6	C24, C26	C_0603_1608Metric	2	22u	C59461
7	C6, C7	C0402	2	12p	C1547
8	D1	SOT-23-3	1	ESDCAN	C2937021
9	D2	LED_RGB_0606	1	LED_RABG	C2874115
10	D3	LED_0603_1608Metric	1	LED	C72043
11	D4	D_SMB	1	SS34B	C13762
12	D5	D_SMB	1	SMBJ26A	C708006
13	F1, F2	Fuse_1812_4532Metric	2	2A	C960026
14	IC1	QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm	1	STM32G431CB	C529356
15	J1	XH2.54 4P	1	Motor	C722872
16	J2	USB-TYPE-C-31-M-12-SWD	1	USB_C	C963413
17	J3	XH2.54 6P	1	CTRL	C722881
18	J4	XH2.54 2P	1	PWR	C722860
19	J5, J6	PH2.0 2P	2	CAN	C2908634
20	J7	PinSocket_2x04_P1.27mm_Vertical	1	IO	C509139
21	L1	L_0805_2012Metric	1	4.7u 800mA	C63166
22	R1, R16, R17, R18, R19, R2, R23, R26, R28, R3, R31, R4	R0402	12	120	C25079
23	R10, R20, R21, R22, R27, R5	R0402	6	4.7k	C25900
24	R11, R12	R_1206_3216Metric	2	100m	C25334
25	R13, R14, R15, R24, R30	R0402	5	1k	C11702
26	R25	R0402	1	0R	C17168
27	R29, R6	R0402	2	510	C25123
28	R32, R8	R0402	2	5.1k	C25905
29	R7, R9	R0402	2	22k	C25768
30	SW1, SW2	SW_SPST_PTS810	2	SW_Push	C2888427
31	U1	QFN-28-termal	1	TMC2209	C465949
32	U2	SOIC-8_3.9x4.9mm_P1.27mm	1	TLE5012B	C123083
33	U3, U5, U6	DFN-2510	3	H5VU25U	C7420374
34	U4	SOT-23-3	1	XC6206	C5446
35	U8	SOIC-8_3.9x4.9mm_P1.27mm	1	TJA1051	C92211
36	U9	SOT-23-6	1	TP6841	C2844736
37	Y1	Crystal-3225-4P	1	12M	C9002
