Designator	Mid X	Mid Y	Rotation	Layer
C1	5.125	-6.875	90.0	top
C10	-4.375	5.25	180.0	top
C11	-4.625	6.5	0.0	top
C12	-4.625	7.75	180.0	top
C13	4.375	10.375	0.0	top
C14	-4.375	10.375	180.0	top
C15	9.625	15.375	180.0	top
C16	-9.625	17.5	0.0	top
C17	9.625	17.5	180.0	top
C18	-9.625	15.375	0.0	top
C19	2.625	11.75	180.0	top
C2	-4.5	-4.625	270.0	top
C20	4.125	6.0	0.0	top
C21	10.25	2.0	0.0	top
C22	-5.5	-17.0	270.0	top
C24	-10.75	-5.125	180.0	top
C25	-8.375	-9.25	90.0	top
C26	-10.75	-3.75	180.0	top
C28	-2.625	11.75	0.0	top
C29	-5.75	9.375	0.0	top
C3	-4.625	4.0	180.0	top
C31	5.5	-17.0	270.0	top
C4	4.0	-6.875	270.0	top
C5	5.75	9.375	180.0	top
C6	7.125	-3.875	0.0	top
C7	7.125	1.125	180.0	top
C8	-16.0	-10.875	0.0	top
D1	10.125	9.875	90.0	top
D2	0.0	-9.75	90.0	top
D3	11.0	-2.375	270.0	top
D4	8.625	-13.125	180.0	top
D5	-8.625	-13.125	0.0	top
F1	-8.875	-16.5	180.0	bottom
F2	8.875	-16.5	180.0	bottom
IC1	0.0	-0.875	90.0	top
J1	0.0	13.5	180.0	top
J2	0.0	-15.15	0.0	top
J3	-13.5	-0.0	270.0	top
J4	13.5	-0.0	90.0	top
J5	14.625	7.5	270.0	top
J6	14.625	-7.5	270.0	top
J7	-9.0	-0.0	270.0	top
L1	-7.125	-9.25	90.0	top
R1	-15.75	10.25	270.0	top
R10	-11.25	-6.5	0.0	top
R11	-9.625	13.25	180.0	top
R12	9.625	13.25	0.0	top
R13	-1.0	-7.25	270.0	top
R14	1.0	-7.25	270.0	top
R15	0.0	-7.25	270.0	top
R16	-10.625	6.875	90.0	top
R17	-8.875	9.875	90.0	top
R18	-7.5	9.875	90.0	top
R19	-11.875	6.875	90.0	top
R2	-16.75	10.25	270.0	top
R20	-10.0	4.25	270.0	top
R21	-8.75	4.25	270.0	top
R22	-7.625	6.85	270.0	top
R23	-3.125	-7.25	270.0	top
R24	-4.65	2.75	180.0	top
R25	9.75	-5.125	180.0	top
R26	-14.75	10.25	270.0	top
R27	-11.25	4.25	270.0	top
R28	-9.375	6.875	90.0	top
R29	6.5	2.75	180.0	top
R3	-17.75	10.25	270.0	top
R30	9.75	-4.125	180.0	top
R31	12.25	9.875	270.0	top
R32	-4.25	-9.625	270.0	top
R4	-4.25	-7.25	270.0	top
R5	10.25	-0.0	180.0	top
R6	10.25	1.0	0.0	top
R7	-12.75	-10.875	270.0	top
R8	4.25	-9.625	270.0	top
R9	-9.25	-6.5	0.0	top
SW1	-8.75	-17.0	0.0	top
SW2	8.75	-17.0	0.0	top
U1	0.0	7.5	270.0	top
U2	0.0	-0.0	270.0	bottom
U3	-11.5	10.25	90.0	top
U4	-7.75	-5.0	90.0	top
U5	-2.375	-9.625	0.0	top
U6	2.375	-9.625	0.0	top
U8	9.75	-8.25	270.0	top
U9	-10.375	-9.25	180.0	top
Y1	7.125	-1.375	270.0	top
