Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C21, C22, C24, C28, C3, C30, C31, C33, C36, C4, C40",C0402,14,100n,C307331
"C10, C12, C13, C14, C5, C8, C9",1206,7,10u 50V,C13585
"C11, C19, C20, C23",C0402,4,470p,C1537
"C15, C29, C32",C0402,3,1u,C52923
"C16, C2, C26, C34, C35",C0402,5,10u,C15525
C25,C0402,1,100n,C1525
C27,C0402,1,22n,C1532
"C6, C7",C0402,2,12p,C1547
"D2, D4, D7",D_SOD-123F,3,SS24,C2827931
D5,D_SMB,1,SS54B,C3011125
D6,LED_RGB_0606,1,LED_RABG,C2874115
D8,D_SMB,1,SMBJ26A,C726831
F1,R1206_Shunt,1,6A,C183157
IC1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G431CB,C529356
"J1, J2",XH2.54 2P,2,PWR,C2908611
J3,USB-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C2988369
J4,XH2.54 4P,1,Motor,C21273
J5,PH2.0 5P,1,CTRL,C2908637
"J6, J7",PH2.0 2P,2,CAN,C2908634
J9,2x2P2.00mm_Vertical_SMD,1,IO,C2911301
L1,CD32,1,33u 600mA,C492262
Q1,SOT-23-3,1,AO3401,C15127
"R1, R17, R18, R19, R2, R23, R26, R3, R35, R4",R0402,10,120,C25079
"R10, R13, R20, R21, R22, R25, R27, R29, R34, R37, R6",R0402,11,5.1k,C25941
"R11, R12",R1206_Shunt,2,100m,C7467250
"R14, R15, R33, R36",R0402,4,510,C25123
"R16, R5, R9",R0402,3,27k,C25771
R32,R0402,1,10k,C25744
R7,R0402,1,100k,C25741
"SW1, SW2",SW_SPST_PTS810,2,SW_Push,C2888427
U1,QFN-28-termal,1,TMC2209,C465949
"U10, U5",DFN-2510,2,H5VU25U,C7420374
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TLE5012B,C123083
U4,SOT-23-3,1,ME6211,C168807
U8,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,TJA1042,C131480
U9,SOT-23-6,1,LGS5148,C5123972
Y1,Crystal-3225-4P,1,12M,C9002
