Designator,Mid X,Mid Y,Rotation,Layer
C1,-4.4375,1.0625,90.0,top
C10,-5.25,3.625,90.0,top
C11,6.0,11.25,180.0,top
C12,-6.25,-11.5625,180.0,top
C13,-9.125,17.0,0.0,top
C14,-9.125,13.9375,0.0,top
C15,2.125,-4.1875,0.0,top
C16,-2.125,-4.125,180.0,top
C17,2.125,-5.125,0.0,top
C18,5.625,-17.25,270.0,top
C2,-2.125,-5.0625,180.0,top
C20,-7.6875,-6.625,180.0,top
C21,7.1875,0.999991,90.0,top
C22,-5.5625,-17.25,270.0,top
C23,6.0,10.2,0.0,top
C25,-12.5,-7.625,180.0,top
C26,2.125,-3.25,180.0,top
C3,11.1875,-11.0,270.0,top
C31,8.125,1.0,90.0,top
C32,5.625,3.25,180.0,top
C35,-7.6875,-8.5,180.0,top
C4,13.1875,-1.25,90.0,top
C5,-8.625,3.625,90.0,top
C6,13.1875,1.0,90.0,top
C7,9.0625,0.999991,270.0,top
C8,9.125,13.9375,180.0,top
C9,9.125,17.0,180.0,top
D1,11.0,8.75,270.0,top
D2,-13.1875,-4.8125,90.0,top
D3,-8.5,-14.1875,180.0,top
D4,-11.0,8.75,270.0,top
D5,-11.0,3.5,90.0,top
D6,0.0,-4.5,90.0,top
D7,8.5,-14.1875,180.0,top
FB1,-4.4375,-1.1875,270.0,top
IC1,8.5,-5.125009,180.0,top
J1,16.655,6.5,90.0,top
J2,-16.655,6.5,270.0,top
J3,0.0,-15.875,0.0,top
J4,0.0,16.7175,180.0,top
J5,-17.3425,-4.375,90.0,top
J6,17.3425,-0.875,270.0,top
J7,17.3425,-7.375,270.0,top
J8,0.0,-16.25,180.0,bottom
J9,0.0,-8.0,270.0,top
L1,-10.4375,-4.9375,270.0,top
Q1,-6.6875,-4.25,180.0,top
R1,-12.75,0.375,180.0,top
R10,-10.875,-11.5625,180.0,top
R11,7.125,8.125,180.0,top
R12,-7.125,9.0,180.0,top
R13,11.5,-14.0,90.0,top
R15,-2.125,-3.1875,180.0,top
R16,16.125,11.25,0.0,top
R17,-8.75,0.25,180.0,top
R18,-8.75,-2.0,180.0,top
R19,-8.75,1.5,180.0,top
R2,-12.75,-2.0,180.0,top
R20,-6.125,0.25,0.0,top
R21,-6.125,-1.8125,0.0,top
R22,-6.125,-0.75,0.0,top
R23,-2.375,-11.0,0.0,top
R26,-12.75,1.375,180.0,top
R27,-6.125,1.3125,0.0,top
R29,-5.5625,-14.25,270.0,top
R3,-12.75,-1.0,180.0,top
R32,-4.75,-5.25,180.0,top
R33,-4.75,-3.25,0.0,top
R35,-8.75,-0.75,180.0,top
R36,4.5,1.0,270.0,top
R37,5.5625,-14.25,270.0,top
R4,2.375,-11.0,180.0,top
R5,13.6875,11.25,0.0,top
R6,6.25,0.999991,90.0,top
R7,-9.1875,-10.875,90.0,top
R9,-12.875,-11.5625,180.0,top
SW1,-9.125,-17.125,0.0,top
SW2,9.125,-17.125,0.0,top
U1,0.0,6.625,180.0,top
U10,-10.875,-0.25,90.0,top
U2,0.0,0.0,90.0,top
U4,-5.75,-7.5625,0.0,top
U5,0.0,-11.5,0.0,top
U6,7.125,5.375,0.0,top
U7,-7.125,6.25,0.0,top
U8,7.0,-11.25,270.0,top
U9,-11.875,-9.625,180.0,top
Y1,11.125,1.9375,90.0,top
