Designator,Mid X,Mid Y,Rotation,Layer
C1,-4.4375,1.0625,90.0,top
C10,-6.125,3.75,180.0,top
C11,5.5,11.25,180.0,top
C12,-6.25,-11.5625,180.0,top
C13,-9.125,17.0,0.0,top
C14,-9.125,13.9375,0.0,top
C15,2.25,-3.125,180.0,top
C16,-2.25,-4.125,180.0,top
C17,2.25,-4.125,180.0,top
C18,5.625,-17.25,270.0,top
C19,2.25,-5.125,180.0,top
C2,-2.25,-5.125,180.0,top
C20,-7.5,-3.125,180.0,top
C21,6.75,1.812509,90.0,top
C22,-5.5625,-17.25,270.0,top
C23,5.5,9.8125,180.0,top
C25,-12.625,-7.5625,180.0,top
C26,6.5625,-13.3125,90.0,top
C3,12.5,-8.8125,0.0,top
C31,7.75,1.812509,90.0,top
C32,8.8125,4.0625,180.0,top
C35,-7.5,-5.125,180.0,top
C4,12.875,-0.249991,90.0,top
C5,-8.875,3.5,90.0,top
C6,12.875,1.750009,90.0,top
C7,8.75,1.812509,270.0,top
C8,9.125,13.9375,180.0,top
C9,9.125,17.0,180.0,top
D1,-10.0,10.25,180.0,top
D2,-13.125,-4.875,90.0,top
D3,-11.625,5.75,90.0,top
D4,10.0,10.25,0.0,top
D6,0.0,-4.5,90.0,top
D7,-9.125,-14.25,0.0,top
FB1,-4.4375,-1.1875,270.0,top
IC1,8.5,-3.75,0.0,top
J1,15.5,6.5,270.0,top
J2,-15.5,6.5,90.0,top
J3,0.0,-15.875,0.0,top
J4,-1e-06,14.8125,0.0,top
J5,-16.1875,-4.375,90.0,top
J6,16.1875,-0.875,270.0,top
J7,16.1875,-7.375,270.0,top
J8,0.0,-16.25,180.0,bottom
J9,0.0,-8.0,180.0,top
L1,-10.375,-4.875,270.0,top
Q1,-5.5625,-7.5,0.0,top
R1,-12.5,1.375,180.0,top
R10,-12.875,-11.625,0.0,top
R11,6.125,6.5,270.0,top
R12,-6.125,6.5,90.0,top
R13,-10.3125,-12.1875,90.0,top
R14,12.5,-9.8125,0.0,top
R15,-2.25,-3.125,180.0,top
R16,11.125,5.5,270.0,top
R17,-8.5,0.375,180.0,top
R18,-8.5,-2.125,180.0,top
R19,-8.5,1.625,180.0,top
R2,-12.5,-2.0,180.0,top
R20,-6.1875,1.0,0.0,top
R21,-6.1875,-1.5,0.0,top
R22,-6.1875,-0.25,0.0,top
R23,-2.375,-11.0,0.0,top
R26,-12.5,0.375,180.0,top
R29,-5.5625,-14.25,270.0,top
R3,-12.5,-1.0,180.0,top
R32,-7.5,-6.5,0.0,top
R33,-7.5,-8.5,180.0,top
R35,-8.5,-0.875,180.0,top
R36,4.75,1.812509,270.0,top
R37,5.5625,-13.3125,270.0,top
R4,2.375,-11.0,180.0,top
R5,11.125,7.5,270.0,top
R6,5.75,1.812509,90.0,top
R7,-9.3125,-12.1875,270.0,top
R8,12.5,-10.8125,0.0,top
R9,-11.3125,-12.1875,270.0,top
SW1,-9.125,-17.125,0.0,top
SW2,9.125,-17.125,0.0,top
U1,0.0,6.625,180.0,top
U10,-10.625,-0.25,90.0,top
U2,0.0,0.0,90.0,top
U3,7.75,-9.8125,270.0,top
U4,-5.5625,-4.125,0.0,top
U5,0.0,-11.5,0.0,top
U6,8.875,6.5,90.0,top
U7,-8.8875,6.425,270.0,top
U8,9.0,-13.3125,0.0,top
U9,-11.875,-9.625,180.0,top
Y1,10.8125,1.812509,270.0,top
