Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C17, C18, C19, C21, C22, C25, C26, C3, C31, C32, C4, C5",C0402,14,100n,C1525
"C10, C15",C0402,2,1u,C52923
"C12, C13, C14, C8, C9",C1210,5,10u 100V,C5156756
"C16, C2, C20, C35",C0402,4,10u,C15525
C23,C0402,1,10n 100V,C527014
"C6, C7",C0402,2,12p,C1547
D1,D_SMB,1,SMBJ48A,C353356
"D2, D3, D7",D_SOD-123F,3,SS210,C183475
D4,D_SMB,1,SS510B,C7420368
D6,LED_RGB_0606,1,LED_RABG,C2874115
FB1,R0402,1,<1R,C76883
IC1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G431CB,C529356
"J1, J2",XH2.54 2P,2,PWR,C2908611
J3,USB-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C2988369
J4,XH2.54 4P,1,Motor,C5188444
J5,PH2.0 5P,1,CTRL,C2908637
"J6, J7",PH2.0 2P,2,CAN,C2908634
J9,2x2P2.00mm_Vertical_SMD,1,IO,C2911301
L1,CD32,1,33u 600mA,C492262
Q1,SOT-23-3,1,AO3401,C15127
"R1, R17, R18, R19, R2, R23, R26, R3, R35, R4",R0402,10,120,C25079
"R10, R14, R20, R21, R22, R29, R37, R8",R0402,8,5.1k,C25941
"R11, R12",R1206_Shunt,2,30m,C7467247
"R13, R16, R5, R7",R0402,4,100k,C25741
"R15, R33, R36",R0402,3,510,C25123
"R32, R6",R0402,2,10k,C25744
R9,R0402,1,27k,C25771
"SW1, SW2",SW_SPST_PTS810,2,SW_Push,C2888430
U1,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm,1,DRV8844,C177807
"U10, U5",DFN-2510,2,H5VU25U,C7420374
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TLE5012B,C123083
U3,MSOP-TSSOP-8-P0.65mm,1,AT24CS01-XHM,
U4,SOT-23-3,1,ME6211,C168807
"U6, U7",SOT-23-6,2,INA181A1,C2058943
U8,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,TJA1042,C131480
U9,SOT-23-6,1,BL9362,C2909086
Y1,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,1,12M,C9002
